Year,Month,Day,Precipitation
2016,1,1,2.4000000000000004
2016,1,2,17.0
2016,1,3,40.2
2016,1,4,1.0
2016,1,5,0.0
2016,1,6,0.0
2016,1,7,0.0
2016,1,8,0.2
2016,1,9,28.8
2016,1,10,32.4
2016,1,11,16.0
2016,1,12,112.0
2016,1,13,48.4
2016,1,14,18.6
2016,1,15,63.6
2016,1,16,0.2
2016,1,17,0.0
2016,1,18,1.0
2016,1,19,0.0
2016,1,20,0.0
2016,1,21,0.0
2016,1,22,0.0
2016,1,23,0.2
2016,1,24,13.0
2016,1,25,28.0
2016,1,26,0.0
2016,1,27,3.4
2016,1,28,0.2
2016,1,29,13.8
2016,1,30,5.0
2016,1,31,0.0
2016,2,1,0.0
2016,2,2,0.0
2016,2,3,0.0
2016,2,4,0.0
2016,2,5,0.4
2016,2,6,0.4
2016,2,7,2.4000000000000004
2016,2,8,3.0
2016,2,9,0.0
2016,2,10,0.0
2016,2,11,17.8
2016,2,12,3.2
2016,2,13,0.2
2016,2,14,0.0
2016,2,15,0.0
2016,2,16,45.199999999999996
2016,2,17,0.0
2016,2,18,9.8
2016,2,19,0.0
2016,2,20,0.0
2016,2,21,3.8000000000000003
2016,2,22,0.4
2016,2,23,0.2
2016,2,24,2.4000000000000004
2016,2,25,4.8
2016,2,26,26.2
2016,2,27,9.4
2016,2,28,25.6
2016,2,29,2.0
2016,3,1,5.0
2016,3,2,0.6
2016,3,3,5.2
2016,3,4,25.400000000000002
2016,3,5,0.4
2016,3,6,0.2
2016,3,7,1.0
2016,3,8,0.0
2016,3,9,0.0
2016,3,10,19.6
2016,3,11,55.6
2016,3,12,0.0
2016,3,13,0.0
2016,3,14,0.0
2016,3,15,5.0
2016,3,16,24.2
2016,3,17,11.8
2016,3,18,0.2
2016,3,19,0.0
2016,3,20,0.0
2016,3,21,0.0
2016,3,22,6.6
2016,3,23,19.6
2016,3,24,0.0
2016,3,25,1.0
2016,3,26,0.2
2016,3,27,2.4
2016,3,28,0.0
2016,3,29,0.0
2016,3,30,0.0
2016,3,31,0.0
2016,4,1,0.0
2016,4,2,14.6
2016,4,3,0.0
2016,4,4,0.0
2016,4,5,0.0
2016,4,6,0.0
2016,4,7,0.0
2016,4,8,0.0
2016,4,9,0.0
2016,4,10,0.0
2016,4,11,0.0
2016,4,12,0.0
2016,4,13,0.0
2016,4,14,0.0
2016,4,15,0.0
2016,4,16,0.0
2016,4,17,0.0
2016,4,18,0.0
2016,4,19,0.0
2016,4,20,0.0
2016,4,21,0.0
2016,4,22,0.0
2016,4,23,0.0
2016,4,24,0.0
2016,4,25,0.0
2016,4,26,1.0
2016,4,27,4.0
2016,4,28,0.2
2016,4,29,0.6000000000000001
2016,4,30,0.2
2016,5,1,0.0
2016,5,2,0.0
2016,5,3,0.0
2016,5,4,0.0
2016,5,5,0.0
2016,5,6,0.0
2016,5,7,0.0
2016,5,8,0.0
2016,5,9,0.0
2016,5,10,8.2
2016,5,11,0.2
2016,5,12,0.0
2016,5,13,0.0
2016,5,14,0.0
2016,5,15,0.0
2016,5,16,40.6
2016,5,17,4.0
2016,5,18,0.0
2016,5,19,0.2
2016,5,20,0.0
2016,5,21,47.199999999999996
2016,5,22,0.2
2016,5,23,1.0
2016,5,24,0.0
2016,5,25,0.0
2016,5,26,0.0
2016,5,27,0.0
2016,5,28,0.0
2016,5,29,0.6000000000000001
2016,5,30,22.8
2016,5,31,17.2
2016,6,1,15.2
2016,6,2,17.0
2016,6,3,35.0
2016,6,4,1.2000000000000002
2016,6,5,15.0
2016,6,6,15.6
2016,6,7,17.2
2016,6,8,0.2
2016,6,9,0.2
2016,6,10,0.0
2016,6,11,0.0
2016,6,12,0.0
2016,6,13,0.0
2016,6,14,0.0
2016,6,15,0.0
2016,6,16,0.0
2016,6,17,0.0
2016,6,18,0.0
2016,6,19,0.0
2016,6,20,0.0
2016,6,21,0.0
2016,6,22,0.0
2016,6,23,0.0
2016,6,24,0.0
2016,6,25,0.0
2016,6,26,0.0
2016,6,27,0.0
2016,6,28,0.0
2016,6,29,0.0
2016,6,30,0.0
2016,7,6,0.0
2016,7,7,0.0
2016,7,8,0.0
2016,7,9,0.0
2016,7,10,0.0
2016,7,11,0.0
2016,7,12,0.0
2016,7,13,0.0
2016,7,14,0.0
2016,7,15,0.0
2016,7,16,1.8
2016,7,17,0.0
2016,7,18,0.0
2016,7,19,0.0
2016,7,20,0.0
2016,7,21,0.0
2016,7,22,0.0
2016,7,23,0.0
2016,7,24,0.0
2016,7,25,0.0
2016,7,26,0.0
2016,7,27,0.0
2016,7,28,0.0
2016,7,29,0.0
2016,7,30,0.0
2016,7,31,0.0
2016,8,1,0.0
2016,8,2,0.0
2016,8,3,0.0
2016,8,4,0.0
2016,8,5,0.0
2016,8,6,0.0
2016,8,7,0.0
2016,8,8,0.0
2016,8,9,0.0
2016,8,10,0.0
2016,8,11,0.0
2016,8,12,0.0
2016,8,13,0.0
2016,8,14,0.0
2016,8,15,3.0
2016,8,16,1.0
2016,8,17,0.0
2016,8,18,0.0
2016,8,19,0.0
2016,8,20,5.6000000000000005
2016,8,21,19.2
2016,8,22,0.0
2016,8,23,0.0
2016,8,24,0.0
2016,8,25,0.0
2016,8,26,0.0
2016,8,27,0.0
2016,8,28,0.0
2016,8,29,0.0
2016,8,30,0.0
2016,8,31,18.8
2016,9,1,0.2
2016,9,2,0.4
2016,9,3,1.0
2016,9,4,0.0
2016,9,5,0.0
2016,9,6,9.0
2016,9,7,0.2
2016,9,8,0.2
2016,9,9,0.0
2016,9,10,0.0
2016,9,11,0.0
2016,9,12,0.0
2016,9,13,0.0
2016,9,14,0.0
2016,9,15,0.0
2016,9,16,0.0
2016,9,17,0.0
2016,9,18,0.0
2016,9,19,5.6000000000000005
2016,9,20,0.0
2016,9,21,0.0
2016,9,22,0.0
2016,9,23,0.0
2016,9,24,0.0
2016,9,25,0.0
2016,9,26,0.0
2016,9,27,0.0
2016,9,28,0.0
2016,9,29,0.0
2016,9,30,0.0
2016,10,1,0.0
2016,10,2,0.0
2016,10,3,0.0
2016,10,4,1.0
2016,10,5,0.0
2016,10,6,0.0
2016,10,7,0.0
2016,10,8,0.0
2016,10,9,0.0
2016,10,10,0.0
2016,10,11,20.8
2016,10,12,0.2
2016,10,13,3.8
2016,10,14,1.6
2016,10,15,0.0
2016,10,16,6.0
2016,10,17,0.0
2016,10,18,0.0
2016,10,19,0.0
2016,10,20,28.8
2016,10,21,0.2
2016,10,22,10.6
2016,10,23,0.0
2016,10,24,27.6
2016,10,25,15.4
2016,10,26,19.4
2016,10,27,1.4000000000000001
2016,10,28,0.0
2016,10,29,0.0
2016,10,30,0.0
2016,10,31,15.2
2016,11,1,0.0
2016,11,2,43.800000000000004
2016,11,3,14.8
2016,11,4,2.6
2016,11,5,16.8
2016,11,6,0.2
2016,11,7,0.0
2016,11,8,0.0
2016,11,9,19.8
2016,11,10,2.6
2016,11,11,0.0
2016,11,12,0.0
2016,11,13,36.0
2016,11,14,30.8
2016,11,15,0.2
2016,11,16,0.0
2016,11,17,0.0
2016,11,18,0.0
2016,11,19,0.0
2016,11,20,0.0
2016,11,21,0.0
2016,11,22,7.799999999999999
2016,11,23,0.2
2016,11,24,0.0
2016,11,25,2.4
2016,11,26,0.0
2016,11,27,0.0
2016,11,28,4.4
2016,11,29,2.6
2016,11,30,0.0
2016,12,1,0.0
2016,12,2,3.2
2016,12,3,6.2
2016,12,4,9.4
2016,12,5,0.2
2016,12,6,0.0
2016,12,7,1.8
2016,12,8,9.2
2016,12,9,68.6
2016,12,10,20.400000000000002
2016,12,11,12.2
2016,12,12,9.2
2016,12,13,7.8
2016,12,14,4.6
2016,12,15,0.0
2016,12,16,0.0
2016,12,17,0.0
2016,12,18,0.0
2016,12,19,8.0
2016,12,20,2.6
2016,12,21,1.2
2016,12,22,5.8
2016,12,23,25.0
2016,12,24,0.4
2016,12,25,23.8
2016,12,26,11.8
2016,12,27,0.0
2016,12,28,0.0
2016,12,29,0.4
2016,12,30,0.0
2016,12,31,5.2
2017,1,1,0.0
2017,1,2,0.0
2017,1,3,0.6000000000000001
2017,1,4,0.0
2017,1,5,6.0
2017,1,6,0.6000000000000001
2017,1,7,0.0
2017,1,8,0.0
2017,1,9,12.6
2017,1,10,7.2
2017,1,11,6.800000000000001
2017,1,12,0.4
2017,1,13,0.0
2017,1,14,0.0
2017,1,15,13.4
2017,1,16,0.0
2017,1,17,22.8
2017,1,18,26.2
2017,1,19,11.6
2017,1,20,17.400000000000002
2017,1,21,12.4
2017,1,22,11.2
2017,1,23,34.6
2017,1,24,5.4
2017,1,25,2.6
2017,1,26,7.2
2017,1,27,3.8
2017,1,28,0.0
2017,1,29,0.0
2017,1,30,0.0
2017,1,31,23.2
2017,2,1,18.400000000000002
2017,2,2,53.6
2017,2,3,35.2
2017,2,4,0.4
2017,2,5,7.199999999999999
2017,2,6,20.4
2017,2,7,0.0
2017,2,8,0.0
2017,2,9,0.0
2017,2,10,0.0
2017,2,11,0.0
2017,2,12,0.0
2017,2,13,0.0
2017,2,14,0.0
2017,2,15,0.0
2017,2,16,0.0
2017,2,17,5.6
2017,2,18,84.0
2017,2,19,0.4
2017,2,20,0.0
2017,2,21,0.0
2017,2,22,0.0
2017,2,23,0.0
2017,2,24,4.4
2017,2,25,34.0
2017,2,26,9.2
2017,2,27,1.6
2017,2,28,0.0
2017,3,1,0.8
2017,3,2,7.3999999999999995
2017,3,3,52.199999999999996
2017,3,4,20.2
2017,3,5,29.0
2017,3,6,40.0
2017,3,7,23.4
2017,3,8,1.4
2017,3,9,0.0
2017,3,10,2.4000000000000004
2017,3,11,0.0
2017,3,12,0.0
2017,3,13,0.0
2017,3,14,8.0
2017,3,15,1.4
2017,3,16,0.0
2017,3,17,0.0
2017,3,18,3.6
2017,3,19,3.8000000000000003
2017,3,20,0.0
2017,3,21,0.0
2017,3,22,0.0
2017,3,23,0.0
2017,3,24,0.0
2017,3,25,0.0
2017,3,26,0.0
2017,3,27,0.0
2017,3,28,0.0
2017,3,29,0.0
2017,3,30,0.0
2017,3,31,0.0
2017,4,1,0.0
2017,4,2,0.0
2017,4,3,0.0
2017,4,4,0.0
2017,4,5,0.0
2017,4,6,34.2
2017,4,7,31.0
2017,4,8,0.0
2017,4,9,0.0
2017,4,10,0.0
2017,4,11,0.0
2017,4,12,0.0
2017,4,13,0.0
2017,4,14,0.0
2017,4,15,0.0
2017,4,16,0.0
2017,4,17,0.0
2017,4,18,0.0
2017,4,19,0.0
2017,4,20,0.0
2017,4,21,36.2
2017,4,22,0.6000000000000001
2017,4,23,0.0
2017,4,24,0.0
2017,4,25,0.0
2017,4,26,16.2
2017,4,27,1.4000000000000001
2017,4,28,0.0
2017,4,29,0.0
2017,4,30,0.0
2017,5,1,0.0
2017,5,2,0.0
2017,5,3,0.0
2017,5,4,0.0
2017,5,5,4.2
2017,5,6,6.0
2017,5,7,0.0
2017,5,8,0.0
2017,5,9,0.0
2017,5,10,0.0
2017,5,11,0.0
2017,5,12,0.0
2017,5,13,0.0
2017,5,14,2.6
2017,5,15,0.2
2017,5,16,0.0
2017,5,17,0.0
2017,5,18,15.600000000000001
2017,5,19,69.0
2017,5,20,4.8
2017,5,21,27.6
2017,5,22,12.6
2017,5,23,0.0
2017,5,24,0.0
2017,5,25,0.0
2017,5,26,0.0
2017,5,27,0.0
2017,5,28,0.0
2017,5,29,0.0
2017,5,30,0.0
2017,5,31,0.0
2017,6,1,0.0
2017,6,2,0.0
2017,6,3,0.0
2017,6,4,0.0
2017,6,5,0.2
2017,6,6,0.0
2017,6,7,0.0
2017,6,8,0.0
2017,6,9,0.6
2017,6,10,0.0
2017,6,11,0.0
2017,6,12,0.8
2017,6,13,5.8
2017,6,14,0.6000000000000001
2017,6,15,0.0
2017,6,16,0.0
2017,6,17,0.0
2017,6,18,0.0
2017,6,19,0.0
2017,6,20,0.0
2017,6,21,0.0
2017,6,22,0.0
2017,6,23,0.0
2017,6,24,0.0
2017,6,25,0.0
2017,6,26,0.0
2017,6,27,0.0
2017,6,28,0.0
2017,6,29,0.0
2017,6,30,0.0
2017,7,1,0.0
2017,7,2,0.0
2017,7,3,0.0
2017,7,4,0.0
2017,7,5,0.0
2017,7,6,0.0
2017,7,7,0.0
2017,7,8,0.0
2017,7,9,0.0
2017,7,10,0.0
2017,7,11,0.0
2017,7,12,0.0
2017,7,13,0.0
2017,7,14,0.0
2017,7,15,0.0
2017,7,16,0.0
2017,7,17,0.0
2017,7,18,0.0
2017,7,19,0.0
2017,7,20,0.0
2017,7,21,0.0
2017,7,22,0.0
2017,7,23,0.0
2017,7,24,0.0
2017,7,25,0.0
2017,7,26,0.0
2017,7,27,0.0
2017,7,28,0.0
2017,7,29,0.0
2017,7,30,0.0
2017,7,31,0.0
2017,8,1,0.0
2017,8,2,0.0
2017,8,3,0.0
2017,8,4,0.0
2017,8,5,0.0
2017,8,6,0.0
2017,8,7,0.0
2017,8,8,0.0
2017,8,9,0.0
2017,8,10,0.0
2017,8,11,0.0
2017,8,12,0.0
2017,8,13,0.0
2017,8,14,0.0
2017,8,15,0.0
2017,8,16,1.4000000000000001
2017,8,17,1.6
2017,8,18,10.4
2017,8,19,0.8
2017,8,20,3.8000000000000003
2017,8,21,1.0
2017,8,22,0.0
2017,8,23,0.0
2017,8,24,0.0
2017,8,25,0.0
2017,8,26,0.0
2017,8,27,0.0
2017,8,28,0.0
2017,8,29,0.0
2017,8,30,0.0
2017,8,31,0.0
2017,9,1,0.0
2017,9,2,0.0
2017,9,3,0.0
2017,9,4,0.0
2017,9,5,0.0
2017,9,6,0.0
2017,9,7,0.0
2017,9,8,0.0
2017,9,9,0.0
2017,9,10,0.0
2017,9,11,0.0
2017,9,12,0.0
2017,9,13,0.0
2017,9,14,0.0
2017,9,15,0.0
2017,9,16,0.0
2017,9,17,0.0
2017,9,18,0.0
2017,9,19,0.0
2017,9,20,0.0
2017,9,21,0.0
2017,9,22,0.0
2017,9,23,0.0
2017,9,24,0.0
2017,9,25,0.0
2017,9,26,0.0
2017,9,27,0.0
2017,9,28,0.0
2017,9,29,31.6
2017,9,30,28.400000000000002
2017,10,1,0.4
2017,10,2,15.8
2017,10,3,0.8
2017,10,4,0.0
2017,10,5,0.0
2017,10,6,0.0
2017,10,7,1.0
2017,10,8,0.0
2017,10,9,0.0
2017,10,10,1.0
2017,10,11,8.799999999999999
2017,10,12,0.0
2017,10,13,0.0
2017,10,14,0.0
2017,10,15,0.0
2017,10,16,0.0
2017,10,17,0.0
2017,10,18,0.0
2017,10,19,0.0
2017,10,20,0.0
2017,10,21,0.0
2017,10,22,8.200000000000001
2017,10,23,0.2
2017,10,24,0.0
2017,10,25,0.0
2017,10,26,5.8
2017,10,27,47.8
2017,10,28,2.8000000000000003
2017,10,29,25.8
2017,10,30,21.2
2017,10,31,0.2
2017,11,1,0.0
2017,11,2,0.0
2017,11,3,3.6
2017,11,4,59.4
2017,11,5,5.6000000000000005
2017,11,6,0.2
2017,11,7,0.0
2017,11,8,0.0
2017,11,9,9.2
2017,11,10,13.2
2017,11,11,23.4
2017,11,12,0.0
2017,11,13,0.0
2017,11,14,0.0
2017,11,15,0.0
2017,11,16,0.0
2017,11,17,6.4
2017,11,18,2.4
2017,11,19,17.2
2017,11,20,1.2000000000000002
2017,11,21,30.599999999999998
2017,11,22,27.400000000000002
2017,11,23,0.0
2017,11,24,0.0
2017,11,25,0.0
2017,11,26,6.6000000000000005
2017,11,27,0.2
2017,11,28,0.2
2017,11,29,0.0
2017,11,30,14.4
2017,12,1,4.800000000000001
2017,12,2,0.4
2017,12,3,0.0
2017,12,4,0.0
2017,12,5,0.0
2017,12,6,1.8
2017,12,7,23.2
2017,12,8,21.2
2017,12,9,0.0
2017,12,10,0.0
2017,12,11,0.0
2017,12,12,4.0
2017,12,13,0.0
2017,12,14,0.0
2017,12,15,3.6
2017,12,16,0.2
2017,12,17,0.0
2017,12,18,0.0
2017,12,19,11.0
2017,12,20,2.6
2018,1,1,1.2000000000000002
2018,1,2,15.8
2018,1,3,14.0
2018,1,4,6.199999999999999
2018,1,5,0.0
2018,1,6,0.2
2018,1,7,10.2
2018,1,8,4.0
2018,1,9,0.8
2018,1,10,0.0
2018,1,11,24.6
2018,1,12,14.2
2018,1,13,38.8
2018,1,14,3.4000000000000004
2018,1,15,1.8
2018,1,16,4.0
2018,1,17,0.2
2018,1,18,1.0
2018,1,19,0.0
2018,1,20,1.2
2018,1,21,0.6000000000000001
2018,1,22,0.0
2018,1,23,0.0
2018,1,24,1.2000000000000002
2018,1,25,3.4
2018,1,26,2.2
2018,1,27,0.2
2018,1,28,19.599999999999998
2018,1,29,9.6
2018,1,30,22.6
2018,1,31,0.0
2018,2,1,0.0
2018,2,2,0.4
2018,2,3,0.0
2018,2,4,0.0
2018,2,5,0.2
2018,2,6,0.6000000000000001
2018,2,7,0.0
2018,2,8,0.0
2018,2,9,0.0
2018,2,10,0.0
2018,2,11,0.0
2018,2,12,0.2
2018,2,13,0.0
2018,2,14,27.0
2018,2,15,0.0
2018,2,16,9.8
2018,2,17,0.6000000000000001
2018,2,18,0.0
2018,2,19,8.0
2018,2,20,6.4
2018,2,21,5.8
2018,2,22,0.0
2018,2,23,0.0
2018,2,24,0.0
2018,2,25,0.0
2018,2,26,39.8
2018,2,27,20.8
2018,2,28,0.0
2018,3,1,12.2
2018,3,2,2.2
2018,3,3,20.2
2018,3,4,0.0
2018,3,5,0.0
2018,3,6,0.0
2018,3,7,20.0
2018,3,8,3.8
2018,3,9,0.0
2018,3,10,14.0
2018,3,11,0.2
2018,3,12,0.0
2018,3,13,0.0
2018,3,14,0.0
2018,3,15,0.0
2018,3,16,10.6
2018,3,17,0.0
2018,3,18,0.0
2018,3,19,3.0
2018,3,20,35.8
2018,3,21,54.2
2018,3,22,27.0
2018,3,23,1.5999999999999999
2018,3,24,0.0
2018,3,25,0.0
2018,3,26,1.0
2018,3,27,7.6000000000000005
2018,3,28,0.0
2018,3,29,0.0
2018,3,30,0.2
2018,3,31,0.0
2018,4,1,4.6
2018,4,2,1.6
2018,4,3,8.0
2018,4,4,0.4
2018,4,5,0.0
2018,4,26,0.0
2018,4,27,0.0
2018,4,28,0.0
2018,4,29,0.0
2018,4,30,0.0
2018,5,1,0.0
2018,5,2,0.0
2018,5,3,0.0
2018,5,4,0.0
2018,5,5,0.0
2018,5,6,24.4
2018,5,7,0.2
2018,5,8,0.0
2018,5,9,0.0
2018,5,10,0.0
2018,5,11,0.0
2018,5,12,0.0
2018,5,13,0.0
2018,5,14,0.0
2018,5,15,4.8
2018,5,16,0.0
2018,5,17,3.6
2018,8,2,0.2
2018,8,3,33.4
2018,8,4,12.6
2018,8,6,33.0
2018,8,7,0.4
2018,8,9,11.200000000000001
2018,8,22,0.0
2018,8,23,0.0
2018,8,24,0.0
2018,8,25,7.2
2018,8,26,0.2
2018,8,27,0.0
2018,8,28,0.0
2018,8,29,0.0
2018,8,30,0.0
2018,8,31,0.0
2018,9,1,0.0
2018,9,2,0.0
2018,9,3,0.0
2018,9,4,0.0
2018,9,5,0.0
2018,9,6,0.0
2018,9,7,0.0
2018,9,8,0.0
2018,9,9,0.0
2018,9,10,0.0
2020,3,11,0.4
2020,3,12,0.0
2020,3,13,0.0
2020,3,14,0.0
2020,3,15,0.0
2020,3,16,14.2
2020,3,17,0.0
2020,3,18,4.4
2020,3,19,2.2
2020,3,20,4.2
2020,3,21,25.400000000000002
2020,3,22,0.0
2020,3,23,0.0
2020,3,24,0.0
2020,3,25,0.0
2020,3,26,0.0
2020,3,27,0.0
2020,3,28,0.0
2020,3,29,43.6
2020,3,30,2.0
2020,3,31,0.0
2020,4,1,0.0
2020,4,2,0.0
2020,4,3,0.0
2020,4,4,0.0
2020,4,5,0.0
2020,4,6,0.0
2020,4,7,1.4
2020,4,8,0.2
2020,4,9,0.0
2020,4,10,0.0
2020,4,11,0.0
2020,4,12,0.0
2020,4,13,0.0
2020,4,14,4.6000000000000005
2020,4,15,0.2
2020,4,16,0.0
2020,4,17,0.0
2020,4,18,0.0
2020,4,19,0.0
2020,4,20,0.0
2020,4,21,0.0
2020,4,22,0.0
2020,4,23,0.0
2020,4,24,0.0
2020,4,25,0.0
2020,4,26,0.0
2020,4,27,0.0
2020,4,28,0.0
2020,4,29,0.0
2020,4,30,0.0
2020,5,1,0.0
2020,5,2,0.0
2020,5,3,0.0
2020,5,4,0.0
